pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
40988891,The Effects of Repetitive Transcranial Magnetic Stimulation on Post-Traumatic Stress Disorder and Parameter Discussion: A Meta-Analysis Based on Randomized Controlled Trials.,2025,Neuropsychiatric disease and treatment,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40988891/
40988735,Potential neurophysiological mechanisms of intermittent theta-burst stimulation to the left prefrontal cortex for post-stroke unilateral neglect: An exploratory transcranial magnetic stimulation - electroencephalography study.,2025,IBRO neuroscience reports,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40988735/
40988652,An examination of anhedonia as a predictor of response with transcranial magnetic stimulation treatment for youth with depression.,2025,Journal of mood and anxiety disorders,Journal Article,clinical_depression_protocols; master_tms_not_animal_only; psychiatric_indications,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40988652/
40988240,Efficacy and safety of repetitive transcranial magnetic stimulation for major depressive disorder in Chinese patients: A systematic review and meta-analysis.,2025,Medicine,Journal Article; Systematic Review; Meta-Analysis,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40988240/
40988161,Efficacy of low-frequency repetitive transcranial magnetic stimulation in the treatment of sleep disorders in the early stage of Parkinson disease: A single-center double-blind controlled study.,2025,Medicine,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40988161/
40987844,Plasticity of interhemispheric motor cortex connectivity induced by brain state-dependent cortico-cortical paired-associative stimulation.,2025,Scientific reports,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40987844/
40983470,Sensorimotor integration during grasping is mediated by distinct M1 circuits.,2025,Journal of neurophysiology,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40983470/
40983228,High-definition MEG source estimation using the reciprocal boundary element fast multipole method.,2025,NeuroImage,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40983228/
40982809,NEUROMODULATION IN PSYCHOGERIATRICS: EMERGING EVIDENCE AND FUTURE DIRECTIONS.,2025,Psychiatria Danubina,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40982809/
40981026,The Musculoskeletal Advanced Transillumination Technique (MATT): A Descriptive Proof-of-Concept Study of a New Method for the Study of the Iliotibial Tract Tested on Fresh Cadaveric Specimens.,2025,Journal of functional morphology and kinesiology,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40981026/
40980746,Study protocol for identifying resting brain functional connectivity markers of response to continuous Theta Burst Stimulation and cathodal transcranial Direct Current Stimulation in patients with schizophrenia with persistent auditory hallucinations.,2025,Wellcome open research,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40980746/
40980699,ExoTMS transcranial magnetic stimulation for the reduction of binge eating symptoms.,2025,PCN reports : psychiatry and clinical neurosciences,Journal Article,master_tms_not_animal_only; patient_experience_adherence_state; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40980699/
40980513,"Cognitive and Psychological Symptoms in Post-COVID-19 Condition: A Systematic Review of Structural and Functional Neuroimaging, Neurophysiology, and Intervention Studies.",2025,Archives of rehabilitation research and clinical translation,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications,mechanisms; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40980513/
40980053,Utilizing repetitive transcranial magnetic stimulation in the management of gambling disorder in Indonesia: protocol for a pilot and feasibility study.,2025,Frontiers in psychiatry,Journal Article,dosing_protocol_variants; master_tms_not_animal_only,protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40980053/
40979200,Effectiveness of different repetitive transcranial magnetic stimulation modalities on sleep function and depression in patients with post-stroke sleep disorders: a systematic review and network meta-analysis of randomized controlled trials.,2025,Frontiers in neurology,Journal Article; Systematic Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40979200/
40975380,Hierarchical Bayesian estimation of motor-evoked potential recruitment curves yields accurate and robust estimates.,2025,Brain stimulation,Journal Article,master_tms_not_animal_only; medication_sleep_caffeine_state; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40975380/
40974751,Effectiveness and safety of repetitive transcranial magnetic stimulation for generalized anxiety disorder: A meta-analysis and trial sequential analysis of randomized controlled trials.,2025,General hospital psychiatry,Journal Article; Meta-Analysis,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40974751/
40974731,Efficacy of continuous theta burst stimulation (cTBS) in the treatment of auditory verbal hallucinations in Schizophrenia: A randomized controlled trial.,2025,Journal of psychiatric research,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40974731/
40974613,Neural Correlates Involved in Behavioral Metrics of Emotion Regulation and Suicidal Thoughts and Behaviors.,2025,Archives of suicide research : official journal of the International Academy for Suicide Research,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40974613/
40973118,Repetitive transcranial magnetic stimulation targeting the right dorsolateral prefrontal cortex for the treatment of erythematotelangiectatic rosacea.,2025,The British journal of dermatology,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40973118/
40972066,Investigational transcranial magnetic stimulation measures as predictors of aggression in schizophrenia: A cross-sectional study.,2025,Journal of psychiatric research,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40972066/
40971139,Microglial Polarization and Therapeutic Strategies in Post-stroke Neuroinflammation.,2025,Neurology and therapy,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40971139/
40970380,Human single-neuron activity is modulated by intracranial theta burst stimulation of the basolateral amygdala.,2025,eLife,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only,mechanisms; protocol_literacy; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40970380/
40969944,"Psychedelics and mental health: reimagining care through science, insight, and compassion.",2025,Frontiers in pharmacology,Journal Article,master_tms_not_animal_only,,5,exclude_low_priority,no_training_platform_module_match,False,https://pubmed.ncbi.nlm.nih.gov/40969944/
40969222,Integrating repetitive transcranial magnetic stimulation and Mediterranean diet for cognitive and anxiety improvement in early Alzheimer's disease: A case report and literature review.,2025,Journal of Alzheimer's disease reports,Case Reports; Journal Article,master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications,patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40969222/
40968368,Non-invasive brain technologies and their role in clinical applications.,2025,Expert review of medical devices,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only,guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40968368/
40966145,Differential Functional Network Remodeling Induced by Low- and High-Frequency rTMS: Evidence From Concurrent fNIRS Monitoring.,2025,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40966145/
40964094,Vascular endothelial growth factor: a key factor in the onset and treatment of depression.,2025,Frontiers in cellular neuroscience,Journal Article; Review,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40964094/
40963946,Effects of Repetitive Transcranial Magnetic Stimulation on Upper and Lower Limb Motor Function and Spasticity After Stroke: A Meta-Analysis.,2025,Brain & NeuroRehabilitation,Journal Article,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only,protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40963946/
40963640,Safety and tolerability of dual-site accelerated transcranial magnetic stimulation treatment for obsessive-compulsive disorder and major depressive disorder.,2025,Transcranial magnetic stimulation (2024),Journal Article,dosing_protocol_variants; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40963640/
40961282,"Dorso lateral prefrontal cortex stimulation with TMS in chronic migraine individuals refractory to anti-CGRP monoclonal antibodies: Clinical, neuropsychological and neurophysiological effects.",2025,Cephalalgia : an international journal of headache,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40961282/
40957931,Non-invasive brain stimulation: current and future applications in neurology.,2025,Nature reviews. Neurology,Journal Article; Review,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40957931/
40955796,How to Improve Cognitive Flexibility: Evidence From Noninvasive Neuromodulation Techniques.,2025,CNS neuroscience & therapeutics,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40955796/
40953185,Exploiting cortical and peripheral somatosensory stimulation for inducing sensorimotor plasticity in humans.,2025,Journal of neurophysiology,Journal Article; Comment,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40953185/
40950103,Simulation of evoked responses to transcranial magnetic stimulation using a multiscale cortical circuit model.,2025,bioRxiv : the preprint server for biology,Journal Article; Preprint,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40950103/
40949139,Epilepsy and migraine: a diagnostic and therapeutic challenge.,2025,Frontiers in pharmacology,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40949139/
40948655,A study to investigate the relationship between transcranial magnetic stimulation on cognitive impairment and neurotrophic factor in post-stroke patients.,2025,Frontiers in neurology,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40948655/
40948603,Phase-synchronized 40 Hz tACS and iTBS effects on gamma oscillations.,2025,"Imaging neuroscience (Cambridge, Mass.)",Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40948603/
40948189,Perception and Impact of Transcranial Magnetic Stimulation in Patients With Chronic Neuropathic Pain: A Longitudinal Qualitative Study.,2025,"European journal of pain (London, England)",Journal Article,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40948189/
40948026,Salience Network Connectivity Predicts Response to Repetitive Transcranial Magnetic Stimulation in Smoking Cessation: A Preliminary Machine Learning Study.,2025,Brain connectivity,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40948026/
40946318,"Integrative Systematic Review on Pharmacological, Psychotherapeutic, and Neurostimulatory Treatment Options in Treatment-Resistant Anxiety Disorders.",2025,Psychotherapy and psychosomatics,Journal Article; Systematic Review,guidelines_consensus_reviews; master_tms_not_animal_only; patient_experience_adherence_state; psychiatric_indications,patient_faq_adherence; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40946318/
40946271,Enhancing Human Action Inhibition Through Cortico-Cortical Paired Associative Stimulation.,2025,Annals of the New York Academy of Sciences,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40946271/
40945401,Decreased long-interval intracortical inhibition in the dorsolateral prefrontal cortex using TMS-EEG in patients with treatment-resistant depression.,2025,Psychiatry research,Journal Article,fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40945401/
40943717,General Innovations in Pain Management.,2025,Journal of clinical medicine,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40943717/
40943301,Burnout and the Brain-A Mechanistic Review of Magnetic Resonance Imaging (MRI) Studies.,2025,International journal of molecular sciences,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; psychiatric_indications; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40943301/
40940438,Causal contributions of left inferior and medial frontal cortex to semantic and executive control.,2025,Communications biology,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40940438/
40940023,rtmsEcho: An Open-Source R Package for Automated Analysis of Acoustic Ejection Mass Spectrometry Data.,2025,Analytical chemistry,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40940023/
40937409,Review of nonpharmacological interventions for delaying the effects of cerebral neuropathy caused by diabetes.,2025,Frontiers in endocrinology,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40937409/
40936325,Clinical Effect on Cortical Reactivity of Theta Burst Versus High-Frequency Repetitive Transcranial Magnetic Stimulation in Parkinson's Disease: A TMS-EEG Study.,2025,CNS neuroscience & therapeutics,Journal Article; Randomized Controlled Trial; Comparative Study,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy; measurement_expansion,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40936325/
40935424,Non-invasive brain stimulation for the treatment of sleep disorders in psychiatric conditions-systematic review protocol.,2025,BMJ open,Journal Article,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40935424/
40934835,High-frequency rTMS and home-based exercise in individuals with Parkinson's disease: A double-blind randomized controlled trial.,2025,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Journal Article; Randomized Controlled Trial,dosing_protocol_variants; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40934835/
40933148,Advances in transcranial magnetic stimulation for psychological symptom management in Parkinson's disease.,2025,World journal of psychiatry,Journal Article; Review,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications,mechanisms; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40933148/
40932878,Intermittent theta burst stimulation enhances prefrontal activation and connectivity: evidence from fNIRS.,2025,Frontiers in human neuroscience,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40932878/
40932853,"Public Perceptions of Neurotechnologies Used to Target Mood, Memory, and Motor Symptoms.",2025,Device,Journal Article,master_tms_not_animal_only; technician_equipment_localization,technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40932853/
40931689,The Role of Deep Cerebral Tracts in Predicting Postoperative Aphasia: An nTMS-Based Investigation of the Corticothalamic Fibers.,2025,Human brain mapping,Journal Article,master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40931689/
40930556,Dosage and safety of transcranial magnetic stimulation and transcranial direct current stimulation for managing patients with chronic musculoskeletal pain: a scoping review protocol.,2025,BMJ open,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40930556/
40928607,Achieving greater accuracy in transcranial magnetic stimulation corticospinal evaluation and motor mapping by improving motor evoked potential recording: an emerging issue.,2025,Physical and engineering sciences in medicine,Journal Article,master_tms_not_animal_only,,5,exclude_low_priority,no_training_platform_module_match,False,https://pubmed.ncbi.nlm.nih.gov/40928607/
40925727,Effectiveness of high-frequency repetitive transcranial magnetic stimulation coupled with rehabilitation in patients with spinal cord injury: a systematic review.,2025,Neurological research,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state,mechanisms; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40925727/
40925398,Systematic review of experimental studies in humans on transcranial temporal interference stimulation.,2025,Journal of neural engineering,Journal Article; Systematic Review,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/40925398/
40924322,Role of patient frailty in resection of newly diagnosed motor eloquent glioblastomas guided by a navigated transcranial magnetic stimulation and tractography approach.,2025,Journal of neuro-oncology,Journal Article,master_tms_not_animal_only; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40924322/
40923106,Active Touch Intervention Using a Rough Texture Enhances Corticospinal Excitability.,2025,Brain and behavior,Journal Article,master_tms_not_animal_only,,5,exclude_low_priority,no_training_platform_module_match,False,https://pubmed.ncbi.nlm.nih.gov/40923106/
40921260,Rostro-caudal TMS mapping of immediate transcranial evoked potentials reveals a pericentral crescendo-decrescendo pattern.,2025,NeuroImage,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; medication_sleep_caffeine_state; technician_equipment_localization,patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40921260/
40919411,Dynamic brain network reconfiguration following rTMS in males with cocaine use disorder.,2025,Frontiers in human neuroscience,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; protocol_literacy; measurement_expansion,4,background_index,background_mechanism_protocol_or_measurement_record,False,https://pubmed.ncbi.nlm.nih.gov/40919411/
40918019,"Effect of high-frequency rTMS on cognitive deficits in schizophrenia: A randomized, double blind, sham-controlled trial.",2025,Indian journal of psychiatry,Journal Article,dosing_protocol_variants; master_tms_not_animal_only; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy,3,include_targeted_extraction,clinical_trial_or_protocol_evidence,True,https://pubmed.ncbi.nlm.nih.gov/40918019/
40917869,Diverse and distributed haemodynamic effects of theta burst stimulation in the prefrontal cortex.,2025,Neuroimage. Reports,Journal Article,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; master_tms_not_animal_only; mechanisms_neuroplasticity; technician_equipment_localization,mechanisms; technician_workflow; protocol_literacy; measurement_expansion,3,include_targeted_extraction,operational_or_patient_faq_relevance,True,https://pubmed.ncbi.nlm.nih.gov/40917869/
